customerID,Contract,tenure,MonthlyCharges,Churn,Churn_Probability,MRR_at_Risk,Risk_Tier
6047-YHPVI,0,5,69.7,Yes,0.5664,39.48,Medium Risk
6572-ADKRS,0,46,74.8,No,0.2879,21.53,Low Risk
5380-WJKOV,0,34,106.35,Yes,0.5454,58.0,Medium Risk
8168-UQWWF,0,11,97.85,Yes,0.7723,75.57,High Risk
8865-TNMNX,1,10,49.55,No,0.0562,2.78,Low Risk
9489-DEDVP,2,70,69.2,No,0.0095,0.66,Low Risk
9867-JCZSP,1,17,20.75,No,0.0354,0.73,Low Risk
4671-VJLCL,2,63,79.85,No,0.0193,1.54,Low Risk
4080-IIARD,0,13,76.2,No,0.2276,17.34,Low Risk
3714-NTNFO,0,49,84.5,No,0.4679,39.54,Medium Risk
5948-UJZLF,0,2,49.25,No,0.4776,23.52,Medium Risk
7760-OYPDY,0,2,80.65,Yes,0.746,60.16,High Risk
7639-LIAYI,2,52,79.75,No,0.026,2.07,Low Risk
2954-PIBKO,2,69,64.15,No,0.0255,1.64,Low Risk
8012-SOUDQ,0,43,90.25,No,0.4497,40.59,Medium Risk
9420-LOJKX,0,15,99.1,Yes,0.6155,61.0,High Risk
6575-SUVOI,0,25,69.5,No,0.1443,10.03,Low Risk
7495-OOKFY,0,8,80.65,Yes,0.6726,54.25,High Risk
4667-QONEA,1,60,74.85,No,0.0447,3.35,Low Risk
1658-BYGOY,0,18,95.45,Yes,0.6131,58.52,High Risk
8769-KKTPH,1,63,99.65,No,0.1147,11.43,Low Risk
5067-XJQFU,1,66,108.45,No,0.1995,21.64,Low Risk
3957-SQXML,2,34,24.95,No,0.02,0.5,Low Risk
5954-BDFSG,2,72,107.5,No,0.1212,13.03,Low Risk
0434-CSFON,0,47,100.5,No,0.5248,52.74,Medium Risk
1215-FIGMP,0,60,89.9,No,0.3139,28.22,Medium Risk
0526-SXDJP,2,72,42.1,No,0.0401,1.69,Low Risk
0557-ASKVU,1,18,54.4,No,0.0974,5.3,Low Risk
5698-BQJOH,0,9,94.4,Yes,0.7228,68.23,High Risk
5122-CYFXA,0,3,75.3,No,0.3455,26.02,Medium Risk
8627-ZYGSZ,1,47,78.9,No,0.1517,11.97,Low Risk
3410-YOQBQ,2,31,79.2,No,0.0528,4.18,Low Risk
3170-NMYVV,2,50,20.15,No,0.0054,0.11,Low Risk
7410-OIEDU,0,10,79.85,No,0.2821,22.53,Low Risk
2273-QCKXA,0,1,49.05,No,0.4375,21.46,Medium Risk
0731-EBJQB,1,52,20.4,No,0.0157,0.32,Low Risk
1891-QRQSA,2,64,111.6,No,0.1252,13.97,Low Risk
8028-PNXHQ,2,62,24.25,No,0.0024,0.06,Low Risk
5630-AHZIL,0,3,64.5,No,0.3371,21.74,Medium Risk
2673-CXQEU,1,56,110.5,No,0.1837,20.3,Low Risk
6416-JNVRK,1,46,55.65,No,0.0637,3.54,Low Risk
5590-ZSKRV,0,8,54.65,No,0.121,6.61,Low Risk
0191-ZHSKZ,0,30,74.75,No,0.1991,14.88,Low Risk
3887-PBQAO,1,45,25.9,No,0.0237,0.61,Low Risk
5919-TMRGD,0,1,79.35,Yes,0.8366,66.38,High Risk
8108-UXRQN,0,11,50.55,No,0.269,13.6,Low Risk
9191-MYQKX,0,7,75.15,Yes,0.6191,46.53,High Risk
9919-YLNNG,0,42,103.8,No,0.327,33.94,Medium Risk
0318-ZOPWS,2,49,20.15,No,0.0205,0.41,Low Risk
4445-ZJNMU,0,9,99.3,No,0.7085,70.35,High Risk
4808-YNLEU,1,35,62.15,No,0.0312,1.94,Low Risk
1862-QRWPE,2,48,20.65,No,0.0064,0.13,Low Risk
2796-NNUFI,2,46,19.95,No,0.0058,0.12,Low Risk
3016-KSVCP,0,29,33.75,No,0.2202,7.43,Low Risk
4767-HZZHQ,0,30,82.05,No,0.2035,16.7,Low Risk
2424-WVHPL,0,1,74.7,No,0.4409,32.94,Medium Risk
7233-PAHHL,2,66,84.0,No,0.0171,1.44,Low Risk
6067-NGCEU,0,65,111.05,No,0.1783,19.8,Low Risk
9848-JQJTX,2,72,100.9,No,0.1142,11.52,Low Risk
8637-XJIVR,0,12,78.95,Yes,0.3998,31.56,Medium Risk
9803-FTJCG,1,71,66.85,No,0.0282,1.89,Low Risk
0278-YXOOG,0,5,21.05,Yes,0.2133,4.49,Low Risk
3212-KXOCR,2,52,21.0,No,0.0138,0.29,Low Risk
4598-XLKNJ,0,25,98.5,Yes,0.5505,54.22,Medium Risk
6380-ARCEH,0,1,20.2,No,0.3387,6.84,Medium Risk
3679-XASPY,0,1,19.45,No,0.355,6.9,Medium Risk
7123-WQUHX,1,38,95.0,No,0.0899,8.54,Low Risk
5386-THSLQ,1,66,45.55,No,0.0628,2.86,Low Risk
3192-NQECA,2,68,110.0,Yes,0.2245,24.7,Low Risk
6180-YBIQI,0,5,24.3,No,0.3464,8.42,Medium Risk
6728-DKUCO,1,72,104.15,No,0.0709,7.38,Low Risk
9750-BOOHV,1,32,30.15,No,0.0485,1.46,Low Risk
8597-CWYHH,1,43,94.35,No,0.1506,14.21,Low Risk
2848-YXSMW,2,72,19.4,No,0.0047,0.09,Low Risk
0486-HECZI,0,55,96.75,Yes,0.2922,28.27,Low Risk
4549-ZDQYY,1,52,57.95,No,0.0379,2.2,Low Risk
5712-AHQNN,0,43,91.65,No,0.3529,32.34,Medium Risk
4846-WHAFZ,0,37,76.5,Yes,0.4926,37.68,Medium Risk
5256-SKJGO,2,64,54.6,No,0.0479,2.62,Low Risk
3071-VBYPO,0,3,89.85,No,0.3222,28.95,Medium Risk
9560-BBZXK,2,36,31.05,No,0.0379,1.18,Low Risk
5299-RULOA,0,10,100.25,Yes,0.7497,75.16,High Risk
8402-OOOHJ,2,41,20.65,No,0.0062,0.13,Low Risk
9445-ZUEQE,0,27,85.2,No,0.2591,22.08,Low Risk
1091-SOZGA,1,56,99.8,No,0.131,13.07,Low Risk
2928-HLDBA,0,6,20.7,No,0.1196,2.48,Low Risk
0404-SWRVG,0,3,74.4,Yes,0.7017,52.21,High Risk
6497-TILVL,0,7,50.7,No,0.1684,8.54,Low Risk
7219-TLZHO,0,4,20.85,No,0.1535,3.2,Low Risk
4622-YNKIJ,2,33,88.95,No,0.1176,10.46,Low Risk
4412-YLTKF,0,27,78.05,Yes,0.504,39.34,Medium Risk
6734-PSBAW,2,72,23.55,No,0.0039,0.09,Low Risk
3930-ZGWVE,0,1,19.75,No,0.335,6.62,Medium Risk
2639-UGMAZ,1,71,56.45,No,0.1526,8.61,Low Risk
2876-GZYZC,0,13,85.95,No,0.6151,52.87,High Risk
6207-WIOLX,0,25,58.6,Yes,0.2939,17.22,Low Risk
8587-XYZSF,2,67,50.55,No,0.0192,0.97,Low Risk
3091-FYHKI,0,1,35.45,Yes,0.7998,28.35,High Risk
2372-HWUHI,0,2,44.35,Yes,0.5581,24.75,Medium Risk
7799-LGRDP,2,43,25.7,No,0.0493,1.27,Low Risk
7850-VWJUU,0,23,75.0,No,0.3102,23.26,Medium Risk
3774-VBNXY,2,64,20.2,No,0.0033,0.07,Low Risk
6217-KDYWC,2,57,19.6,No,0.0236,0.46,Low Risk
0390-DCFDQ,0,1,70.45,Yes,0.7429,52.34,High Risk
3146-MSEGF,2,72,88.05,No,0.0495,4.36,Low Risk
4080-OGPJL,0,8,71.15,Yes,0.5613,39.94,Medium Risk
1095-WGNGG,2,61,101.05,No,0.12,12.13,Low Risk
2636-SJDOU,1,64,84.3,No,0.0605,5.1,Low Risk
1131-QQZEB,2,71,23.95,No,0.0042,0.1,Low Risk
5716-EZXZN,2,65,99.05,No,0.048,4.75,Low Risk
6837-BJYDQ,1,3,19.6,No,0.0275,0.54,Low Risk
2135-RXIHG,0,1,45.65,Yes,0.6339,28.94,High Risk
6440-DKQGE,1,30,64.5,No,0.045,2.9,Low Risk
3466-BYAVD,0,15,69.5,No,0.1343,9.33,Low Risk
3780-YVMFA,0,8,68.55,No,0.3366,23.07,Medium Risk
3874-EQOEP,0,7,95.0,Yes,0.7855,74.62,High Risk
1679-JRFBR,1,70,108.15,No,0.0828,8.95,Low Risk
9073-ZZIAY,2,62,86.1,No,0.0285,2.45,Low Risk
3077-RSNTJ,0,6,19.7,No,0.1501,2.96,Low Risk
6551-GNYDG,0,14,80.9,No,0.4768,38.57,Medium Risk
9167-APMXZ,0,22,84.15,No,0.444,37.36,Medium Risk
2749-CTKAJ,1,22,20.15,No,0.0078,0.16,Low Risk
6371-NZYEG,2,16,64.25,No,0.0581,3.73,Low Risk
7554-NEWDD,2,10,25.7,No,0.0449,1.15,Low Risk
8992-VONJD,0,13,56.0,No,0.2298,12.87,Low Risk
0867-MKZVY,0,20,82.4,Yes,0.4423,36.45,Medium Risk
4482-EWFMI,0,2,69.7,No,0.5778,40.27,Medium Risk
4648-YPBTM,2,53,73.9,No,0.0381,2.82,Low Risk
2907-ILJBN,1,11,20.6,No,0.1015,2.09,Low Risk
6345-FZOQH,2,69,19.9,No,0.0048,0.1,Low Risk
3376-BMGFE,0,4,70.9,Yes,0.5978,42.38,Medium Risk
5997-OPVFA,2,72,89.05,No,0.0047,0.42,Low Risk
3445-HXXGF,0,58,45.3,Yes,0.4256,19.28,Medium Risk
1159-WFSGR,0,16,20.4,No,0.0863,1.76,Low Risk
7654-YWJUF,1,43,84.25,No,0.066,5.56,Low Risk
1875-QIVME,0,2,104.4,Yes,0.7868,82.14,High Risk
6727-IOTLZ,2,14,81.95,No,0.1028,8.42,Low Risk
0691-JVSYA,1,53,94.85,Yes,0.2076,19.69,Low Risk
5918-VUKWP,1,32,20.55,No,0.0347,0.71,Low Risk
1744-JHKYS,0,34,24.7,No,0.0846,2.09,Low Risk
2656-FMOKZ,0,15,74.45,Yes,0.5906,43.97,Medium Risk
2070-FNEXE,0,7,76.45,Yes,0.4578,35.0,Medium Risk
5947-SGKCL,0,15,105.35,No,0.5162,54.38,Medium Risk
3712-PKXZA,1,61,20.55,No,0.013,0.27,Low Risk
6317-YPKDH,0,1,29.95,Yes,0.4317,12.93,Medium Risk
6582-OIVSP,0,1,45.3,No,0.494,22.38,Medium Risk
9367-WXLCH,0,8,84.5,Yes,0.6622,55.96,High Risk
5524-KHNJP,1,33,74.75,No,0.0947,7.08,Low Risk
1918-ZBFQJ,0,13,79.25,Yes,0.5855,46.4,Medium Risk
1024-GUALD,0,1,24.8,Yes,0.6629,16.44,High Risk
4827-USJHP,0,20,51.8,No,0.1702,8.82,Low Risk
8167-GJLRN,0,3,30.4,No,0.3654,11.11,Medium Risk
0956-SYCWG,1,13,19.65,No,0.016,0.31,Low Risk
8017-UVSZU,0,40,56.6,No,0.1069,6.05,Low Risk
7100-FQPRV,1,43,71.9,No,0.055,3.95,Low Risk
2472-OVKUP,0,6,91.0,Yes,0.7245,65.93,High Risk
2984-RGEYA,2,69,19.75,No,0.0051,0.1,Low Risk
9680-NIAUV,2,72,109.7,No,0.0253,2.78,Low Risk
2146-EGVDT,2,59,19.3,No,0.0055,0.11,Low Risk
2604-IJPDU,0,20,96.55,No,0.4121,39.79,Medium Risk
9178-JHUVJ,2,24,24.1,No,0.0297,0.72,Low Risk
6168-YBYNP,0,59,111.35,No,0.3192,35.54,Medium Risk
7255-SSFBC,2,72,112.25,No,0.0712,7.99,Low Risk
3645-DEYGF,0,1,20.75,No,0.2509,5.21,Low Risk
9323-HGFWY,1,27,101.9,No,0.1766,18.0,Low Risk
8544-GOQSH,0,14,80.05,No,0.3789,30.33,Medium Risk
3363-DTIVD,2,71,105.55,No,0.0766,8.09,Low Risk
7018-WBJNK,0,13,78.3,No,0.4865,38.09,Medium Risk
9142-KZXOP,0,44,68.85,No,0.2183,15.03,Low Risk
7674-YTAFD,1,33,79.95,No,0.0647,5.17,Low Risk
6348-SNFUS,2,72,55.45,No,0.0107,0.59,Low Risk
1285-OKIPP,0,1,79.9,Yes,0.8272,66.09,High Risk
7825-ECJRF,0,19,106.6,Yes,0.5646,60.19,Medium Risk
1347-KTTTA,1,64,102.45,No,0.1498,15.35,Low Risk
7841-TZDMQ,0,2,46.0,Yes,0.5346,24.59,Medium Risk
4195-NZGTA,0,1,25.25,No,0.5709,14.42,Medium Risk
7157-SMCFK,2,61,19.75,No,0.035,0.69,Low Risk
4709-LKHYG,1,29,20.0,No,0.0167,0.33,Low Risk
2504-DSHIH,0,23,86.8,No,0.4671,40.54,Medium Risk
0699-NDKJM,0,57,58.75,No,0.1486,8.73,Low Risk
9286-BHDQG,2,72,45.25,No,0.0188,0.85,Low Risk
0230-WEQUW,2,66,56.6,No,0.0054,0.31,Low Risk
2040-LDIWQ,2,65,84.2,No,0.0257,2.16,Low Risk
6496-JDSSB,0,8,80.0,No,0.6179,49.43,High Risk
9408-SSNVZ,0,4,70.15,Yes,0.5787,40.6,Medium Risk
4443-EMBNA,2,71,24.75,No,0.0071,0.18,Low Risk
6469-MRVET,1,1,20.2,No,0.1176,2.38,Low Risk
0742-MOABM,0,4,50.05,Yes,0.3234,16.19,Medium Risk
5961-VUSRV,1,12,19.35,No,0.0188,0.36,Low Risk
6778-JFCMK,1,24,50.6,No,0.0746,3.77,Low Risk
6341-JVQGF,1,31,81.15,No,0.0723,5.87,Low Risk
2232-DMLXU,0,1,55.2,Yes,0.6256,34.53,High Risk
4811-JBUVU,0,30,89.9,No,0.3001,26.98,Medium Risk
0945-TSONX,2,47,85.3,No,0.011,0.94,Low Risk
2651-ZCBXV,2,54,108.0,No,0.198,21.38,Low Risk
3316-UWXUY,0,50,93.5,No,0.164,15.33,Low Risk
8937-RDTHP,0,1,84.6,Yes,0.7776,65.78,High Risk
7083-MIOPC,2,72,20.25,No,0.0085,0.17,Low Risk
1984-GPTEH,0,29,25.15,No,0.069,1.74,Low Risk
1251-KRREG,0,2,54.4,Yes,0.6323,34.4,High Risk
0621-JFHOL,2,10,29.6,No,0.0981,2.9,Low Risk
9903-LYSAB,0,18,73.15,No,0.4599,33.64,Medium Risk
0094-OIFMO,0,11,95.0,Yes,0.6897,65.52,High Risk
9227-UAQFT,2,16,19.75,No,0.0187,0.37,Low Risk
7301-ABVAD,2,72,86.6,No,0.0144,1.25,Low Risk
6614-FHDBO,2,72,109.2,No,0.0728,7.95,Low Risk
7576-ASEJU,1,41,74.7,No,0.0498,3.72,Low Risk
9058-HRZSV,0,65,94.4,No,0.1401,13.23,Low Risk
4522-AKYLR,0,13,54.8,No,0.284,15.56,Low Risk
0221-WMXNQ,0,4,75.35,No,0.3577,26.95,Medium Risk
0303-UNCIP,1,41,65.0,No,0.0703,4.57,Low Risk
9947-OTFQU,0,15,74.4,Yes,0.5908,43.96,Medium Risk
0322-YINQP,0,1,48.55,Yes,0.5352,25.98,Medium Risk
0959-WHOKV,1,42,99.0,No,0.2243,22.21,Low Risk
4075-JFPGR,1,51,93.5,No,0.1357,12.69,Low Risk
4629-NRXKX,0,2,70.4,Yes,0.6209,43.71,High Risk
9514-JDSKI,0,1,40.2,Yes,0.7973,32.05,High Risk
3282-ZISZV,1,32,83.7,No,0.0707,5.92,Low Risk
3675-YDUPJ,0,10,19.85,No,0.0961,1.91,Low Risk
4111-BNXIF,2,67,59.55,No,0.0527,3.14,Low Risk
7017-VFHAY,2,61,115.1,No,0.0555,6.39,Low Risk
6655-LHBYW,1,50,114.35,No,0.1883,21.53,Low Risk
4959-JOSRX,0,2,44.6,Yes,0.5167,23.04,Medium Risk
5046-NUHWD,0,29,45.0,No,0.2743,12.34,Low Risk
7273-TEFQD,0,3,41.15,Yes,0.7432,30.58,High Risk
3606-TWKGI,0,13,106.9,Yes,0.673,71.94,High Risk
7529-ZDFXI,0,57,89.85,No,0.3888,34.93,Medium Risk
7605-BDWDC,2,31,49.85,No,0.0381,1.9,Low Risk
1950-KSVVJ,1,45,113.3,No,0.1345,15.24,Low Risk
0123-CRBRT,2,61,88.1,No,0.0147,1.3,Low Risk
6292-TOSSS,2,50,24.9,No,0.0206,0.51,Low Risk
3197-ARFOY,0,19,105.0,No,0.4744,49.81,Medium Risk
6323-AYBRX,2,59,19.35,Yes,0.1654,3.2,Low Risk
7014-ZZXAW,2,71,24.25,No,0.0068,0.16,Low Risk
4385-GZQXV,0,16,94.45,Yes,0.6145,58.04,High Risk
7633-MVPUY,2,57,59.75,No,0.0253,1.51,Low Risk
6366-ZGQGL,0,1,24.8,Yes,0.5346,13.26,Medium Risk
4716-HHKQH,0,20,107.05,No,0.399,42.71,Medium Risk
5940-AHUHD,0,1,70.6,Yes,0.7493,52.9,High Risk
6432-TWQLB,0,5,85.4,Yes,0.7841,66.96,High Risk
4484-GLZOU,0,52,105.05,Yes,0.5049,53.04,Medium Risk
3179-GBRWV,0,21,64.95,No,0.1871,12.15,Low Risk
8645-KWHJO,0,14,55.0,No,0.3699,20.34,Medium Risk
4130-MZLCC,0,5,50.55,No,0.3198,16.17,Medium Risk
0314-TKOSI,0,6,55.15,No,0.2461,13.57,Low Risk
8229-MYEJZ,0,10,51.2,No,0.2169,11.11,Low Risk
2080-SRCDE,0,1,25.4,No,0.2281,5.79,Low Risk
9577-WJVCQ,0,68,54.45,No,0.0657,3.58,Low Risk
9512-UIBFX,0,18,95.15,Yes,0.3563,33.9,Medium Risk
6202-DYYFX,1,22,76.0,No,0.1287,9.78,Low Risk
3808-HFKDE,0,20,44.35,No,0.3096,13.73,Medium Risk
5583-SXDAG,0,1,70.0,Yes,0.7884,55.19,High Risk
3488-PGMQJ,0,8,74.5,Yes,0.5838,43.49,Medium Risk
3580-REOAC,0,10,44.85,Yes,0.3187,14.29,Medium Risk
7534-BFESC,0,24,76.1,Yes,0.5203,39.59,Medium Risk
3727-OWVYD,1,35,61.2,No,0.0414,2.53,Low Risk
2294-SALNE,1,23,86.8,No,0.0632,5.49,Low Risk
4847-TAJYI,0,6,89.35,No,0.7267,64.93,High Risk
1563-IWQEX,0,12,19.7,No,0.1289,2.54,Low Risk
8203-XJZRC,0,1,20.25,No,0.2821,5.71,Low Risk
6556-DBKZF,2,71,76.05,No,0.1906,14.5,Low Risk
6851-WEFYX,0,35,100.8,No,0.5489,55.33,Medium Risk
2985-JUUBZ,0,40,74.55,No,0.1576,11.75,Low Risk
6390-DSAZX,0,1,73.6,Yes,0.738,54.32,High Risk
0895-LMRSF,1,23,64.9,No,0.1153,7.48,Low Risk
8098-LLAZX,0,4,95.45,Yes,0.854,81.51,High Risk
8266-VBFQL,0,4,90.4,No,0.6677,60.36,High Risk
8181-YHCMF,2,68,60.3,No,0.0118,0.71,Low Risk
2240-HSJQD,0,38,81.85,No,0.2994,24.51,Low Risk
1248-DYXUB,2,52,24.8,No,0.0049,0.12,Low Risk
0265-EDXBD,0,32,74.9,Yes,0.4623,34.63,Medium Risk
4115-BNPJY,2,29,75.55,No,0.0483,3.65,Low Risk
3167-SNQPL,0,38,101.15,No,0.4011,40.57,Medium Risk
4091-TVOCN,1,48,78.75,No,0.0681,5.36,Low Risk
1098-TDVUQ,0,1,19.25,No,0.24,4.62,Low Risk
7277-OZCGZ,0,22,89.05,No,0.3617,32.21,Medium Risk
1557-EMYVT,2,43,115.05,No,0.0967,11.13,Low Risk
2799-ARNLO,0,5,69.35,No,0.5419,37.58,Medium Risk
7563-BIUPC,0,5,80.6,Yes,0.7016,56.55,High Risk
5027-YOCXN,1,51,110.05,No,0.1905,20.96,Low Risk
3973-SKMLN,2,71,19.9,No,0.0074,0.15,Low Risk
2321-OMBXY,1,38,80.3,Yes,0.2242,18.0,Low Risk
2840-XANRC,0,24,93.15,Yes,0.4926,45.89,Medium Risk
6745-JEFZB,0,35,91.5,No,0.305,27.91,Medium Risk
5020-ZSTTY,1,54,82.45,Yes,0.2904,23.94,Low Risk
9880-TDQAC,2,72,60.0,No,0.0684,4.1,Low Risk
8705-WZCYL,0,1,44.8,No,0.5797,25.97,Medium Risk
7102-JJVTX,1,9,48.6,No,0.0629,3.06,Low Risk
8626-PTQGE,2,69,60.05,No,0.0221,1.33,Low Risk
4983-CLMLV,0,52,102.7,No,0.4001,41.09,Medium Risk
5701-YVSVF,0,11,82.9,No,0.5696,47.22,Medium Risk
5804-LEPIM,0,2,70.35,Yes,0.6257,44.02,High Risk
5697-GOMBF,0,28,35.9,No,0.2518,9.04,Low Risk
2739-CACDQ,0,17,82.65,No,0.4404,36.4,Medium Risk
9385-EHGDO,2,35,19.85,No,0.0139,0.28,Low Risk
9498-FIMXL,1,8,19.2,No,0.0347,0.67,Low Risk
2379-GYFLQ,1,46,94.9,No,0.129,12.24,Low Risk
0122-OAHPZ,0,7,73.85,Yes,0.6241,46.09,High Risk
2868-SNELZ,0,2,80.6,Yes,0.785,63.27,High Risk
4322-RCYMT,1,68,75.8,Yes,0.1468,11.13,Low Risk
6680-NENYN,2,43,104.6,Yes,0.4014,41.99,Medium Risk
2088-IEBAU,2,68,88.15,No,0.0248,2.19,Low Risk
7982-VCELR,0,36,94.8,No,0.373,35.36,Medium Risk
1343-EHPYB,0,63,103.4,Yes,0.452,46.74,Medium Risk
6035-BXTTY,0,32,54.65,No,0.1118,6.11,Low Risk
6885-PKOAM,2,71,85.75,No,0.0107,0.92,Low Risk
7520-HQWJU,0,66,67.45,No,0.0964,6.5,Low Risk
9639-BUJXT,1,63,20.5,No,0.0102,0.21,Low Risk
5924-SNGKP,1,41,20.25,No,0.0109,0.22,Low Risk
0021-IKXGC,0,1,72.1,No,0.7143,51.5,High Risk
2034-GDRCN,0,2,90.4,Yes,0.7981,72.15,High Risk
8966-SNIZF,2,70,19.45,No,0.0064,0.12,Low Risk
6243-OZGFH,0,23,44.95,No,0.3206,14.41,Medium Risk
4654-DLAMQ,1,64,97.0,No,0.0767,7.44,Low Risk
0513-RBGPE,2,37,62.8,No,0.0178,1.12,Low Risk
5160-UXJED,1,17,44.6,No,0.0833,3.72,Low Risk
4115-NZRKS,0,7,89.15,No,0.7361,65.62,High Risk
0219-YTZUE,0,4,84.8,Yes,0.8336,70.69,High Risk
0623-IIHUG,0,21,41.9,Yes,0.5402,22.63,Medium Risk
4572-DVCGN,0,10,80.25,Yes,0.5966,47.88,Medium Risk
3351-NGXYI,0,16,54.1,No,0.2872,15.54,Low Risk
8984-EYLLL,2,64,105.25,No,0.1064,11.2,Low Risk
9057-MSWCO,0,27,30.75,Yes,0.4309,13.25,Medium Risk
9833-TGFHX,1,42,97.1,No,0.1724,16.74,Low Risk
9294-TDIPC,0,5,20.2,No,0.0996,2.01,Low Risk
5229-DTFYB,2,41,98.8,No,0.0918,9.07,Low Risk
0104-PPXDV,1,58,50.3,No,0.0481,2.42,Low Risk
5176-LMJXE,2,47,20.55,No,0.0097,0.2,Low Risk
3583-KRKMD,0,18,75.9,No,0.2764,20.98,Low Risk
1010-DIAUQ,0,5,96.5,Yes,0.7281,70.26,High Risk
9069-LGEUL,0,23,59.95,No,0.1206,7.23,Low Risk
7302-ZHMHP,0,1,19.15,No,0.2138,4.09,Low Risk
9571-EDEBV,1,71,98.65,No,0.1511,14.91,Low Risk
3520-FJGCV,2,72,112.6,No,0.0207,2.33,Low Risk
6563-VRERX,1,33,20.6,No,0.0213,0.44,Low Risk
0259-GBZSH,0,2,85.65,Yes,0.8155,69.85,High Risk
6122-EFVKN,2,24,35.75,No,0.0288,1.03,Low Risk
2805-EDJPQ,1,56,99.75,No,0.0964,9.62,Low Risk
6862-CQUMB,0,37,96.1,No,0.3533,33.95,Medium Risk
7156-MXBJE,1,43,85.1,No,0.0628,5.34,Low Risk
6158-HDPXZ,0,1,25.35,No,0.5119,12.98,Medium Risk
9601-BRXPO,0,25,104.95,Yes,0.5314,55.77,Medium Risk
2863-IMQDR,2,61,89.65,No,0.0228,2.04,Low Risk
5686-CMAWK,1,17,86.75,No,0.1307,11.34,Low Risk
5651-CRHKQ,1,41,86.2,No,0.0808,6.96,Low Risk
6905-NIQIN,0,1,50.65,Yes,0.5488,27.8,Medium Risk
8204-YJCLA,2,72,64.8,No,0.0098,0.64,Low Risk
5167-ZFFMM,0,1,90.85,Yes,0.7645,69.45,High Risk
6583-SZVGP,2,48,108.1,No,0.2723,29.44,Low Risk
4895-TMWIR,0,11,19.95,Yes,0.3826,7.63,Medium Risk
0533-BNWKF,0,55,85.45,Yes,0.4464,38.14,Medium Risk
1708-PBBOA,1,42,54.75,No,0.0775,4.24,Low Risk
8782-LKFPK,0,44,90.4,No,0.3679,33.26,Medium Risk
5522-JBWMO,0,1,44.0,No,0.5251,23.1,Medium Risk
3597-MVHJT,0,27,95.6,No,0.5083,48.59,Medium Risk
9774-NRNAU,0,27,84.8,No,0.1465,12.42,Low Risk
0224-RLWWD,0,2,44.3,No,0.5605,24.83,Medium Risk
9967-ATRFS,0,19,19.9,No,0.0716,1.42,Low Risk
3951-NJCVI,0,42,95.05,No,0.4997,47.5,Medium Risk
2977-CEBSX,2,66,90.05,No,0.0151,1.36,Low Risk
0177-PXBAT,0,33,109.9,No,0.3088,33.94,Medium Risk
6599-CEBNN,0,34,73.95,Yes,0.3971,29.37,Medium Risk
2519-ERQOJ,0,33,54.6,No,0.2226,12.15,Low Risk
5876-QMYLD,1,23,20.05,No,0.01,0.2,Low Risk
2277-AXSDC,1,32,19.75,No,0.0154,0.3,Low Risk
